time_s,vx_mean,vy_mean,vz_mean
0.00000188,161.03725244,-81.59212401,56316.92608307
0.00000189,151.44932418,40.44066705,56161.21811581
0.00000190,87.24921295,-35.73241257,55938.39469885
0.00000191,12.21275427,96.23719412,55891.58020880
0.00000192,-37.31846305,43.34202325,56072.00041407
0.00000193,-39.67025031,2.58523180,56339.45731823
0.00000194,34.21008608,26.60623368,56253.80896564
0.00000195,-25.50650377,-86.34462002,56202.64940677
0.00000196,50.66789049,-50.59189763,56356.60328168
0.00000197,-66.65763597,149.13299544,56389.23070253
0.00000198,-4.80394033,162.72576582,56457.98949391
0.00000199,-114.75517235,103.01284710,56571.95320164
0.00000200,-43.71613671,146.25060634,56649.96870384
