time_s,vx_mean,vy_mean,vz_mean
0.00000159,-34717.28703005,-77.93029288,24298.04932800
0.00000160,-34662.17396126,-64.69827357,24247.31386781
0.00000161,-34564.73670066,-66.76478453,24201.65050569
0.00000162,-34538.51116564,-75.44279730,24163.04392479
0.00000163,-34587.97546630,38.43344039,24150.68650105
0.00000164,-34626.98876273,86.20571907,24165.90602302
0.00000165,-34664.93823014,45.53582079,24159.29636252
0.00000166,-34787.52767248,23.33372913,24093.26436133
0.00000167,-34806.94409251,8.44467263,23983.15373901
0.00000168,-34746.86823026,-30.92925420,23915.74757703
0.00000169,-34732.81933137,-53.44100162,23977.06211487
0.00000170,-34807.99796806,15.61573334,24067.22656289
0.00000171,-34944.43281905,39.16393992,24089.26810999
0.00000172,-34789.18746044,63.05639039,24061.00136493
0.00000173,-34735.06640607,17.40289648,23996.35432707
0.00000174,-34816.96502735,-95.55718927,24117.92797326
0.00000175,-34761.33893681,-112.81529477,24125.52209131
0.00000176,-34814.29667269,-87.18694618,24107.51263871
0.00000177,-34772.30766672,-74.96864023,24095.01509412
0.00000178,-34792.39715143,-98.08572626,24088.83745266
0.00000179,-34725.79443862,-171.34821574,24082.90952340
0.00000180,-34757.57531686,-211.93215542,24133.73420744
0.00000181,-34810.30816950,-259.37662237,24147.99191088
0.00000182,-34744.18395411,-304.96194100,24129.66013313
0.00000183,-34771.92625027,-293.24651023,24105.74697400
0.00000184,-34751.62554497,-213.21039090,24068.31288440
0.00000185,-34731.91428864,-169.87076740,23992.19710170
0.00000186,-34673.39902908,-108.13866711,23823.57409287
0.00000187,-34644.08789755,-104.26875812,23789.33536662
0.00000188,-34702.44637577,-76.79606976,23736.54493053
0.00000189,-34593.42088325,-28.02737568,23721.00782698
0.00000190,-34627.68425791,12.96070814,23736.49484712
0.00000191,-34574.46463335,16.89808121,23831.07837490
0.00000192,-34604.19171949,18.52871964,23840.75811281
0.00000193,-34668.01172390,18.28296247,23811.07469114
0.00000194,-34690.99959367,3.55844091,23902.55840239
0.00000195,-34588.26353490,-42.21828928,23964.85648405
0.00000196,-34656.67687159,-109.02362092,24135.58681456
0.00000197,-34632.30390988,-170.70436893,24222.31794291
0.00000198,-34634.84616279,-180.74764851,24218.27721757
0.00000199,-34708.29560824,-132.16957885,24201.16273518
0.00000200,-34686.10749836,-117.72595206,24226.25024513
